AccountID;DescriptionNOR;DescriptionENG
2077;Premie til egen syke- og ulykkesforsikring;Premium for own health and accident insurance
2078;Premie til tilleggstrygd for sykepenger;Premium for supplementary national insurance for sickness benefits
2080;Udekket tap;Uncovered loss
2099;Udisponert resultat;Retained result
2100;Pensjonsforpliktelser;Pension liabilities
2120;Utsatt skatt, brutto;Deferred tax, gross
2129;Utlignbar utsatt skatt;Deferred tax that can be offset
2160;Uopptjent inntekt;Unearned income
2180;Andre avsetninger for forpliktelser;Other provisions for liabilities and charges
2188;Avsetning for skyldig merverdiavgift;Accured VAT
2200;Konvertible lån;Convertible loans
2210;Obligasjonslån;Bond loans
2220;Gjeld til kredittinstitusjoner;Liabilities to financial institutions
2250;Gjeld til ansatte;Liabilities to employees
2255;Gjeld til eiere;Liabilities to owners
2260;Gjeld til selskap i samme konsern;Liabilities to companies in the same group
2280;Stille interessentinnskudd;Subscription by sleeping partner
2285;Ansvarlig lånekapital;Subordinated loan capital
2290;Gjeld til andre personer enn ansatte og eiere;Liabilities to persons other than employees and owners
2299;Annen langsiktig gjeld;Other long-term liabilities
2300;Konvertible lån;Convertible loans
2320;Obligasjonslån;Bond loans
2360;Byggelån;Construction loans
2380;Kassakreditt;Overdraft facilities
2390;Annen gjeld til kredittinstitusjon;Other liabilities to financial institution
2400;Leverandørgjeld;Trade creditors
2460;Leverandørgjeld til selskap i samme konsern;Trade creditors from group companies
2500;Betalbar skatt, ikke fastsatt;Tax payable, not offset
2510;Betalbar skatt, fastsatt;Tax payable, offset
2540;Forskuddsskatt  upersonlig skattyter;Corporate advance tax
2599;Annen skyldig skatt;Other payable taxes
2600;Forskuddstrekk;Advance tax withholding
2610;Utleggstrekk;Attachment of earnings
2620;Bidragstrekk;Deduction of support (child-support etc) payments
2630;Trygdetrekk;National insurance deduction
2640;Forsikringstrekk;Insurance deduction
2650;Trukket fagforeningskontingent;Trade union dues deduction
2690;Andre trekk;Other deductions
2700;Utgående merverdiavgift, høy sats;Output VAT, high rate
2701;Utgående merverdiavgift, middels sats;Output VAT, middle rate
2702;Utgående merverdiavgift, middels sats, råfisk mv;Output VAT, middle rate raw fish etc
2703;Utgående merverdiavgift, lav sats;Output VAT, low rate
2704;Utgående merverdiavgift ved kjøp av tjenester fra utlandet;Output VAT, purchases of services from abroad
2705;Utgående merverdiavgift - innførsel av varer, høy sats;Output VAT - import of goods, high rate
2706;Utgående merverdiavgift - innførsel av varer, middels sats;Output VAT - import of goods, medium rate
2707;Utgående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats;Output VAT - domestic purchase of goods and services with reversed VAT liability, high rate
2710;Inngående merverdiavgift, høy sats;Input VAT, high rate
2711;Inngående merverdiavgift, middels sats;Input VAT, middle rate
2712;Inngående merverdiavgift, middels sats, råfisk mv;Input VAT, middle rate, raw fish etc
2713;Inngående merverdiavgift, lav sats;Input VAT, low rate
2714;Inngående merverdiavgift ved kjøp tjenester fra utlandet;Input VAT, purchases of services from abroad
2715;Inngående merverdiavgift - innførsel av varer, høy sats;Input VAT - import of goods, high rate
2716;Inngående merverdiavgift - innførsel av varer, middels sats;Input VAT -  import of goods, medium rate
2717;Inngående merverdiavgift - innenlands kjøp av varer og tjenester med omvendt avgiftsplikt, høy sats;Input VAT - domestic purchase of goods and services with reversed VAT liability, high rate
2740;Oppgjørskonto merverdiavgift;Settlement account for VAT
2770;Skyldig arbeidsgiveravgift;Unpaid employers national insurance contributions
2771;Betalt arbeidsgiveravgift;Paid employers national insurance contributions
2772;Skyldig finansskatt av lønn;Unpaid finance tax payroll
2773;Betalt finansskatt av lønn;Paid finance tax payroll
2780;Påløpt arbeidsgiveravgift påløpt lønn;Accrued employers national insurance contributions on accrued wages and salaries
2781;Påløpt arbeidsgiveravgift ferielønn;Accrued employers national insurance contributions on holiday pay
2782;Påløpt arbeidsgiveravgift andre honorarer;Accrued employers national insurance contributions on other remuneration
2783;Påløpt finansskatt påløpt lønn;Accrued finance tax on accrued wages and salaries
2784;Påløpt finansskatt ferielønn;Accrued finance tax on accrued holiday pay
2785;Påløpt finansskatt andre honorarer;Accrued finance tax on other remuneration
2790;Andre offentlige avgifter;Other public duties payable
2800;Avsatt utbytte;Provisions for dividends
2900;Forskudd fra kunder;Prepayments from customers
2910;Gjeld til ansatte;Liabilities to employees
2915;Gjeld til eiere;Liabilities to owners
2920;Gjeld til selskap i samme konsern;Liabilities to companies in the same group
2930;Skyldig lønn;Unpaid wages and salaries
2940;Skyldige feriepenger;Unpaid holiday pay
2945;Utbetalte feriepenger;Paid holiday pay
2950;Påløpt rente;Accrued interest
2960;Annen påløpt kostnad;Other accrued expenses
2965;Forskuddsbetalt inntekt;Prepaid income
2970;Fremtidig garantiytelse;Future guarantee provision
2975;Fremtidig serviceytelse;Future service provision
2980;Avsetning styrehonorar;Provisions for board members fees
2982;Avsetning revisjonshonorar;Provisions for auditors remuneration
2983;Avsetning regnskapshonorar;Provisions for accountants fees
2989;Avsetning for andre forpliktelser;Other provisions for liabilities
2990;Gjeld til andre personer enn ansatte og eiere;Liabilities to persons other than employees and owners
2999;Annen kortsiktig gjeld;Other current liabilities
3000;Salgsinntekt handelsvarer, avgiftspliktig, høy sats;Sales revenue, merchandise, subject to VAT, high rate
3005;Salgsinntekt handelsvarer, omvendt avgiftsplikt;Revenue trade goods, reversed VAT liability
3009;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3010;Salgsinntekt egentilvirkede varer, avgiftspliktig, høy sats;Sales revenue, goods of own production, subject to VAT, high rate
3015;Salgsinntekt egentilvirkede varer, omvendt avgiftsplikt;Revenue self-produced goods, reversed VAT liability
3019;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3020;Salgsinntekt tjenester, avgiftspliktig, høy sats;Sales revenue, services, subject to VAT, high rate
3025;Salgsinntekt tjenester, omvendt avgiftsplikt;Revenue services, reversed VAT liability
3029;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3030;Salgsinntekt handelsvarer, avgiftspliktig, middels sats;Sales revenue, merchandise, subject to VAT, middle rate
3039;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3040;Salgsinntekt egentilvirkede varer, avgiftspliktig, middels sats;Sales revenue, goods of own production, subject to VAT, middle rate
3049;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3050;Salgsinntekt tjenester, avgiftspliktig, lav sats;Sales revenue, services, subject to VAT, low rate
3059;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3060;Uttak av varer, avgiftspliktig, høy sats;Withdrawal of goods, subject to VAT, high rate
3063;Uttak av varer, avgiftspliktig, middels sats;Withdrawal of goods, subject to VAT, middle rate
3070;Uttak av tjenester, avgiftspliktig, høy sats;Withdrawal of services, subject to VAT, high rate
3074;Uttak av tjenester, avgiftspliktig, lav sats;Withdrawal of services, subject to VAT, low rate
3081;Kontantrabatt, avgiftspliktig salg, høy sats;Cash discount, sales subject to VAT, high rate
3082;Kontantrabatt, avgiftspliktig salg, middel sats;Cash discount, sales subject to VAT, middle rate
3083;Kontantrabatt, avgiftspliktig salg, lav sats;Cash discount, sales subject to VAT, low rate
3084;Kvantumsrabatt, avgiftspliktig salg, høy sats;Quantity discount, sales subject to VAT, high rate
3085;Kvantumsrabatt, avgiftspliktig salg, middels sats;Quantity discount, sales subject to VAT, middle rate
3086;Kvantumsrabatt, avgiftspliktig salg, lav sats;Quantity discount, sales subject to VAT, low rate
3087;Annen salgsinntektsreduksjon, avgiftspliktig salg, høy sats;Other reduction in sales revenue, sales subject to VAT, high rate
3088;Annen salgsinntektsreduksjon, avgiftspliktig salg, middels sats;Other reduction in sales revenue, sales subject to VAT, middle rate
3089;Annen salgsinntektsreduksjon, avgiftspliktig salg, lav sats;Other reduction in sales revenue, sales subject to VAT, low rate
3090;Viderefakturering av omkostninger ved salg, høy sats;Re-invoicing of sales costs, high rate
3091;Viderefakturering av omkostninger ved salg, middels sats;Re-invoicing of sales costs, middle rate
3092;Viderefakturering av omkostninger ved salg, lav sats;Re-invoicing of sales costs, low rate
3100;Salgsinntekt handelsvarer, innenlands, avgiftsfri;Revenue trade goods, domestic, duty free
3105;Salgsinntekt handelsvarer, utførsel, avgiftsfri;Revenue trade goods, exportation, duty free
3109;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3110;Salgsinntekt egentilvirkede varer, innenlands, avgiftsfri;Revenue self-produced goods, domestic, duty free
3115;Salgsinntekt egentilvirkede varer, utførsel, avgiftsfri;Revenue self-produced goods,  exportation, duty free
3119;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3120;Salgsinntekt tjenester, innenlands, avgiftsfri;Revenue services, domestic, duty free
3125;Salgsinntekt tjenester, utførsel, avgiftsfri;Revenue services, exportation, duty free
3129;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3160;Uttak av varer, avgiftsfritt;Withdrawal of goods, not subject to VAT
3170;Uttak av tjenester, avgiftsfritt;Withdrawal of services, not subject to VAT
3181;Kontantrabatt, innenlands, avgiftsfritt;Cash discounts, domestic, sales not subject to VAT
3182;Kontantrabatt, utførsel, avgiftsfritt;Cash discounts, exportation, sales not subject to VAT
3185;Kvantumsrabatt, innenlands, avgiftsfritt;Quantity discounts, domestic, sales not subject to VAT
3186;Kvantumsrabatt, utførsel, avgiftsfritt;Quantity discounts, exportation, sales not subject to VAT
3188;Annen salgsinntektsreduksjon, innenlands, avgiftsfritt;Other reductions in sales revenue, domestic, sales not subject to VAT
3189;Annen salgsinntektsreduksjon, utførsel, avgiftsfritt;Other reductions in sales revenue, exportation, sales not subject to VAT
3190;Viderefakturering av omkostninger ved salg, innenlands, avgiftsfritt;Re-invoicing of sales costs, domestic, not subject to VAT
3191;Viderefakturering av omkostninger ved salg, utførsel, avgiftsfritt;Re-invoicing of sales costs, exportation, sales not subject to VAT
3200;Salgsinntekt handelsvarer, unntatt avgiftsplikt;Sales revenue, merchandise, exempt from VAT
3209;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3210;Salgsinntekt egentilvirkede varer, unntatt avgiftsplikt;Sales revenue, goods of own production, exempt from VAT
3219;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3220;Salgsinntekt tjenester, unntatt avgiftsplikt;Sales revenue, services, exempt from VAT
3229;Opptjent, ikke fakturert inntekt;Earned income that has not been invoiced
3260;Uttak av varer, unntatt avgiftsplikt;Withdrawal of goods, exempt from VAT
3281;Kontantrabatt, unntatt avgiftsplikt;Cash discounts, exempt from VAT
3285;Kvantumsrabatt, unntatt avgiftsplikt;Quantity discounts, exempt from VAT
3289;Annen salgsinntektsreduksjon, unntatt avgiftsplikt;Other reductions in sales revenue, exempt from VAT
3290;Viderefakturering av omkostninger ved salg, unntatt avgiftsplikt;Re-invoicing of sales costs, exempt from VAT
3300;Spesiell offentlig avgift for tilvirkede/solgte varer;Special government fees and taxes on goods manufactured/sold
3400;Spesielt offentlig tilskudd for tilvirkede/solgte varer;Special public grant for manufactured/sold goods
3440;Spesielt offentlig tilskudd for tjeneste;Special public grant for services
3500;Garanti;Guarantees
3510;Service;Service
3600;Leieinntekt fast eiendom, unntatt avgiftsplikt;Rental income from real property, exempt from VAT
3605;Leieinntekt fast eiendom, avgiftspliktig;Rental income from real property, subject to VAT
3609;Opptjent, ikke fakturert leieinntekt;Earned rental income that has not been invoiced
3610;Leieinntekt andre varige driftsmidler, avgiftspliktig;Rental income from other tangible fixed assets, subject to VAT
3615;Leieinntekt andre varige driftsmidler, avgiftsfri;Rental income from other tangible fixed assets, not subject to VAT
3619;Opptjent, ikke fakturert leieinntekt;Earned rental income that has not been invoiced
3620;Annen leieinntekt;Other rental income
3700;Provisjonsinntekt, avgiftspliktig;Commission income, subject to VAT
3705;Provisjonsinntekt, avgiftsfri;Commission income, not subject to VAT
3709;Opptjent, ikke fakturert provisjonsinntekt;Earned commission income that has not been invoiced
3710;Provisjonsinntekt, unntatt avgiftsplikt;Commission income, exempt from VAT
3850;Verdiendringer investeringseiendommer;Change in value of investment properties
3870;Verdiendringer biologiske eiendeler;Change in value of biological assets
